,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2000-01-03T18:00:00,25.43,25.78,25.93,24.94,0
2000-01-04T18:00:00,25.73,25.14,25.84,25.1,0
2000-01-05T18:00:00,25.03,25.01,25.57,24.73,0
2000-01-06T18:00:00,24.88,24.44,25.23,24.37,0
2000-01-09T18:00:00,24.44,24.9,24.98,24.24,0
2000-01-10T18:00:00,24.94,26.01,26.04,24.9,0
2000-01-11T18:00:00,25.97,26.52,26.79,25.61,0
2000-01-12T18:00:00,27.03,26.65,28.13,26.44,0
2000-01-13T18:00:00,28.13,28.28,28.36,28.01,0
2000-01-17T18:00:00,28.29,29.11,29.27,28.22,0
2000-01-18T18:00:00,29.06,29.81,29.95,28.81,0
2000-01-19T18:00:00,29.67,29.93,30.22,29.06,0
2000-01-20T18:00:00,29.04,29.04,29.37,28.49,0
2000-01-23T18:00:00,28.49,28.08,28.95,27.76,0
2000-01-24T18:00:00,28.03,28.54,28.81,27.6,0
2000-01-25T18:00:00,28.55,28.1,29.03,28.05,0
2000-01-26T18:00:00,28.03,27.57,28.36,27.44,0
2000-01-27T18:00:00,27.47,27.47,27.8,27.2,0
2000-01-30T18:00:00,27.35,27.89,28.16,26.94,0
2000-01-31T18:00:00,27.85,28.48,28.66,27.85,0
2000-01-31T18:00:00,27.85,28.48,28.66,27.85,0
2000-02-01T18:00:00,28.48,27.8,28.91,27.7,0
2000-02-02T18:00:00,27.81,28.29,28.66,27.66,0
2000-02-03T18:00:00,28.43,29.08,29.13,28.0,0
2000-02-06T18:00:00,28.97,28.71,29.16,28.51,0
2000-02-07T18:00:00,28.7,28.28,28.75,28.17,0
2000-02-08T18:00:00,28.26,29.03,29.1,27.96,0
2000-02-09T18:00:00,28.86,29.7,29.77,28.86,0
2000-02-10T18:00:00,29.69,29.71,30.21,29.29,0
2000-02-13T18:00:00,29.71,30.53,30.58,29.62,0
2000-02-14T18:00:00,30.56,30.34,30.73,30.07,0
2000-02-15T18:00:00,30.3,30.33,30.52,29.62,0
2000-02-16T18:00:00,30.32,29.73,30.33,29.32,0
2000-02-17T18:00:00,30.0,29.49,30.23,29.32,0
2000-02-21T18:00:00,29.4,29.19,30.58,29.14,0
2000-02-22T18:00:00,29.14,29.66,29.72,28.98,0
2000-02-23T18:00:00,29.57,30.24,30.43,29.57,0
2000-02-24T18:00:00,30.19,30.63,31.11,29.97,0
2000-02-27T18:00:00,30.48,30.41,30.87,30.09,0
2000-02-28T18:00:00,30.47,30.71,30.91,30.38,0
2000-02-29T18:00:00,30.77,32.06,32.09,30.61,0
2006-01-31T18:00:00,68.42,67.17,69.63,66.91,0
2006-02-01T18:00:00,66.81,65.27,67.81,64.99,0
2006-02-02T18:00:00,65.29,65.97,66.0,64.54,0
2006-02-05T18:00:00,66.2,65.71,67.23,65.49,0
2006-02-06T18:00:00,65.7,63.67,65.7,63.58,0
2006-02-07T18:00:00,63.77,63.12,64.07,62.87,0
2006-02-08T18:00:00,63.14,63.19,64.28,62.91,0
2006-02-09T18:00:00,63.21,62.41,63.58,61.76,0
2006-02-12T18:00:00,62.67,61.8,62.75,61.41,0
2006-02-13T18:00:00,61.74,60.12,61.86,60.05,0
2006-02-14T18:00:00,60.04,58.18,60.6,58.13,0
