,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2020-01-25T18:00:00,53.06,52.6,53.08,52.16,5877
2020-01-26T18:00:00,52.59,52.96,53.56,52.15,97691
2020-01-27T18:00:00,52.97,53.79,54.04,52.69,83304
2020-01-28T18:00:00,53.78,53.15,54.37,52.84,71611
2020-01-29T18:00:00,53.15,52.91,53.23,51.7,100212
2020-01-30T18:00:00,52.9,51.62,53.38,51.04,102194
2020-02-01T18:00:00,51.21,51.1,51.34,50.97,3143
2020-02-02T18:00:00,51.12,49.99,52.02,49.81,118324
2020-02-03T18:00:00,49.98,49.66,51.64,49.37,108078
2020-02-04T18:00:00,49.66,51.32,51.97,49.66,110683
2020-02-05T18:00:00,51.34,51.55,52.29,50.36,97298
2020-02-06T18:00:00,51.54,50.45,51.59,50.25,86174
2020-02-08T18:00:00,50.26,49.95,50.32,49.71,3469
2020-02-09T18:00:00,49.95,49.98,50.66,49.58,78992
2020-02-10T18:00:00,49.98,50.34,50.84,49.91,70272
2020-02-11T18:00:00,50.32,51.67,52.16,50.28,48791
2020-02-12T18:00:00,51.66,51.62,52.09,50.8,74431
2020-02-13T18:00:00,51.62,52.43,52.54,51.53,64817
2020-02-15T18:00:00,52.41,52.35,52.47,52.33,1306
2020-02-16T18:00:00,52.35,52.19,52.49,52.04,38222
2020-02-17T18:00:00,52.18,52.41,52.43,51.17,50077
2020-02-18T18:00:00,52.42,53.79,53.82,52.18,59453
2020-02-19T18:00:00,53.79,53.51,54.65,53.33,84717
2020-02-20T18:00:00,53.49,53.41,53.88,52.58,78529
2020-02-22T18:00:00,52.41,52.08,52.44,51.69,5048
2020-02-23T18:00:00,52.09,51.49,52.32,50.48,116081
2020-02-24T18:00:00,51.48,50.23,52.05,49.74,114626
