,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2020-02-24T03:46:00,36.75,36.75,36.75,36.75,3
2020-02-24T03:57:00,36.86,36.86,36.86,36.86,1
2020-02-24T04:15:00,36.75,36.75,36.75,36.75,1
2020-02-24T04:18:00,36.75,36.75,36.75,36.75,2
2020-02-24T04:29:00,36.69,36.69,36.69,36.69,2
2020-02-24T05:05:00,36.88,36.88,36.88,36.88,1
2020-02-24T05:11:00,36.74,36.75,36.75,36.74,2
2020-02-24T05:12:00,36.75,36.76,36.76,36.75,2
2020-02-24T05:13:00,36.71,36.72,36.72,36.71,2
2020-02-24T05:14:00,36.71,36.72,36.72,36.71,6
2020-02-24T05:17:00,36.73,36.73,36.73,36.73,1
2020-02-24T05:27:00,36.77,36.79,36.79,36.77,3
2020-02-24T05:28:00,36.8,36.72,36.8,36.71,4
2020-02-24T05:29:00,36.76,36.77,36.77,36.76,2
2020-02-24T05:30:00,36.79,36.89,36.89,36.79,6
2020-02-24T05:31:00,36.88,36.89,36.89,36.88,4
2020-02-24T05:33:00,36.89,36.89,36.89,36.89,2
2020-02-24T05:37:00,36.89,36.89,36.89,36.89,2
2020-02-24T05:38:00,36.88,36.88,36.88,36.88,1
2020-02-24T05:42:00,36.88,36.88,36.88,36.88,2
2020-02-24T05:44:00,36.88,36.88,36.88,36.88,2
2020-02-24T05:51:00,36.88,36.88,36.88,36.88,1
2020-02-24T05:56:00,36.88,36.88,36.88,36.88,2
2020-02-24T06:00:00,36.84,36.84,36.84,36.84,1
2020-02-24T06:03:00,37.06,37.06,37.06,37.06,2
2020-02-24T06:04:00,37.1,37.1,37.1,37.1,1
2020-02-24T06:05:00,37.13,37.13,37.13,37.13,1
2020-02-24T06:06:00,37.2,37.25,37.25,37.2,6
2020-02-24T06:07:00,37.2,37.2,37.2,37.2,1
2020-02-24T06:08:00,37.2,37.2,37.2,37.2,1
2020-02-24T06:13:00,37.22,37.22,37.22,37.22,1
2020-02-24T06:14:00,37.16,37.15,37.16,37.13,6
2020-02-24T06:15:00,37.13,37.13,37.13,37.13,1
2020-02-24T06:16:00,37.13,37.13,37.13,37.13,1
2020-02-24T06:17:00,37.06,37.06,37.06,37.06,1
2020-02-24T06:18:00,36.98,36.97,36.98,36.97,5
2020-02-24T06:19:00,36.95,36.95,36.95,36.95,2
2020-02-24T06:21:00,36.94,36.94,36.94,36.94,1
2020-02-24T06:22:00,36.95,36.95,36.95,36.95,2
2020-02-24T06:24:00,36.95,36.95,36.95,36.95,1
2020-02-24T06:28:00,36.95,36.93,36.95,36.89,6
2020-02-24T06:29:00,36.98,36.93,36.98,36.93,3
2020-02-24T06:30:00,36.94,36.94,36.94,36.94,1
2020-02-24T06:33:00,36.95,36.95,37.01,36.95,4
2020-02-24T06:34:00,36.93,36.93,36.93,36.93,1
2020-02-24T06:35:00,36.93,36.93,36.93,36.93,1
2020-02-24T06:37:00,36.93,36.93,36.93,36.93,1
2020-02-24T06:38:00,36.93,36.89,36.93,36.89,8
2020-02-24T06:39:00,36.89,36.85,36.89,36.85,4
2020-02-24T06:41:00,36.89,36.85,36.89,36.85,2
2020-02-24T06:42:00,36.87,36.87,36.87,36.87,2
2020-02-24T06:44:00,36.88,36.88,36.88,36.88,1
2020-02-24T06:47:00,36.88,36.87,36.88,36.87,2
2020-02-24T06:48:00,36.88,36.88,36.88,36.88,1
2020-02-24T06:49:00,36.88,36.88,36.88,36.88,1
2020-02-24T06:50:00,36.89,36.89,36.89,36.89,1
2020-02-24T06:52:00,36.89,36.87,36.89,36.87,3
2020-02-24T06:53:00,36.85,36.87,36.87,36.85,3
2020-02-24T06:54:00,36.87,36.87,36.87,36.87,1
2020-02-24T06:55:00,36.87,36.9,36.91,36.87,6
2020-02-24T06:56:00,36.9,36.9,36.91,36.9,5
2020-02-24T06:57:00,36.91,36.91,36.91,36.91,1
2020-02-24T06:59:00,36.9,36.9,36.9,36.9,1
2020-02-24T07:02:00,36.91,36.91,36.91,36.91,2
2020-02-24T07:11:00,36.9,36.9,36.9,36.9,1
2020-02-24T07:12:00,36.91,36.91,36.91,36.91,1
2020-02-24T07:17:00,36.91,36.91,36.91,36.91,2
2020-02-24T07:21:00,36.91,36.91,36.91,36.91,2
2020-02-24T07:26:00,36.9,36.9,36.93,36.9,6
2020-02-24T07:27:00,36.9,36.9,36.9,36.9,1
2020-02-24T07:30:00,36.91,36.91,36.91,36.91,1
2020-02-24T07:34:00,36.9,36.85,36.9,36.85,3
2020-02-24T07:35:00,36.85,36.86,36.86,36.85,2
2020-02-24T07:36:00,36.86,36.86,36.86,36.86,1
2020-02-24T07:37:00,36.86,36.85,36.86,36.85,2
2020-02-24T07:40:00,36.87,36.87,36.87,36.87,1
2020-02-24T07:41:00,36.88,36.85,36.89,36.85,3
2020-02-24T07:45:00,36.83,36.83,36.83,36.83,3
2020-02-24T07:46:00,36.83,36.83,36.83,36.83,4
2020-02-24T07:49:00,36.81,36.76,36.81,36.76,5
2020-02-24T07:50:00,36.76,36.76,36.76,36.76,2
2020-02-24T07:51:00,36.77,36.77,36.77,36.77,1
2020-02-24T07:52:00,36.76,36.76,36.76,36.76,2
2020-02-24T07:53:00,36.75,36.75,36.75,36.75,1
2020-02-24T07:54:00,36.73,36.73,36.73,36.73,2
2020-02-24T07:55:00,36.74,36.74,36.74,36.74,1
2020-02-24T07:57:00,36.75,36.75,36.75,36.75,1
2020-02-24T07:58:00,36.74,36.73,36.74,36.73,3
2020-02-24T08:00:00,36.73,36.73,36.73,36.73,1
2020-02-25T03:10:00,36.04,36.01,36.04,36.0,58
2020-02-25T03:11:00,36.02,36.01,36.02,36.0,3
2020-02-25T03:13:00,36.02,36.04,36.05,36.0,16
2020-02-25T03:15:00,35.99,36.0,36.04,35.99,6
2020-02-25T03:16:00,36.05,36.05,36.05,35.97,27
2020-02-25T03:17:00,36.01,36.03,36.04,35.98,39
2020-02-25T03:18:00,36.01,36.06,36.15,36.01,6
2020-02-25T03:19:00,36.07,36.07,36.07,36.07,1
2020-02-25T03:20:00,36.06,36.06,36.06,36.06,1
2020-02-25T03:21:00,36.05,36.05,36.05,36.04,3
2020-02-25T03:22:00,36.04,36.05,36.07,36.04,28
2020-02-25T03:23:00,36.06,36.0,36.06,35.97,13
2020-02-25T03:25:00,36.01,36.0,36.01,35.97,18
2020-02-25T03:26:00,36.01,36.0,36.01,35.97,29
2020-02-25T03:27:00,35.99,35.99,36.01,35.98,16
2020-02-25T03:28:00,36.0,36.0,36.01,35.97,15
2020-02-25T03:29:00,36.01,35.97,36.01,35.97,5
2020-02-25T03:33:00,36.01,36.0,36.01,35.97,33
2020-02-25T03:34:00,36.01,36.0,36.01,35.97,14
2020-02-25T03:35:00,36.01,36.0,36.01,35.98,21
2020-02-25T03:36:00,36.01,36.0,36.01,35.98,13
2020-02-25T03:41:00,35.99,36.0,36.0,35.98,5
2020-02-25T03:42:00,35.99,36.0,36.01,35.98,8
2020-02-25T03:43:00,36.01,36.0,36.01,35.97,44
2020-02-25T03:44:00,35.98,36.0,36.0,35.98,2
2020-02-25T03:47:00,35.99,36.0,36.0,35.99,2
2020-02-25T03:48:00,35.99,36.0,36.0,35.99,2
2020-02-25T03:50:00,35.99,36.0,36.0,35.99,3
2020-02-25T03:51:00,36.01,36.01,36.01,36.01,2
2020-02-25T03:52:00,36.01,36.01,36.01,36.01,1
2020-02-25T03:54:00,36.01,36.01,36.01,36.01,1
2020-02-25T03:56:00,35.99,36.0,36.01,35.97,25
2020-02-25T03:57:00,36.01,35.99,36.01,35.97,26
2020-02-25T03:59:00,35.97,35.97,35.97,35.97,1
2020-02-25T04:23:00,35.96,35.96,35.96,35.96,1
2020-02-25T04:26:00,35.95,35.95,35.95,35.95,1
2020-02-25T04:30:00,35.86,35.86,35.86,35.86,1
2020-02-25T04:32:00,35.86,35.86,35.86,35.86,1
2020-02-25T05:12:00,35.91,35.86,35.91,35.86,2
2020-02-25T05:21:00,35.91,35.91,35.91,35.91,1
2020-02-25T05:31:00,35.86,35.86,35.86,35.86,1
2020-02-25T05:52:00,36.01,36.01,36.01,36.01,1
2020-02-25T06:00:00,36.06,35.96,36.06,35.96,2
2020-02-25T06:01:00,35.96,35.95,35.96,35.95,6
2020-02-25T06:03:00,35.97,35.97,35.97,35.96,3
2020-02-25T06:04:00,35.97,36.0,36.0,35.97,6
2020-02-25T06:05:00,36.01,36.01,36.01,36.01,1
2020-02-25T06:06:00,36.02,36.02,36.02,36.02,1
2020-02-25T06:07:00,36.08,36.02,36.08,36.02,3
2020-02-25T06:12:00,36.1,36.1,36.1,36.1,1
2020-02-25T06:13:00,36.02,36.02,36.07,36.02,5
2020-02-25T06:14:00,36.02,36.02,36.1,36.02,5
2020-02-25T06:15:00,36.01,36.01,36.01,36.01,1
2020-02-25T06:16:00,36.0,35.97,36.0,35.97,3
2020-02-25T06:20:00,35.97,35.98,35.98,35.97,2
2020-02-25T06:21:00,35.98,35.98,35.98,35.98,1
2020-02-25T06:22:00,35.99,35.99,35.99,35.99,1
2020-02-25T06:25:00,35.99,35.99,35.99,35.99,1
2020-02-25T06:26:00,35.99,35.99,35.99,35.99,1
2020-02-25T06:27:00,35.99,35.99,35.99,35.99,1
2020-02-25T06:28:00,36.08,36.08,36.08,36.08,1
2020-02-25T06:29:00,36.12,36.12,36.12,36.12,1
2020-02-25T06:30:00,36.13,36.13,36.13,36.13,1
2020-02-25T06:31:00,36.14,36.14,36.14,36.14,1
2020-02-25T06:33:00,36.13,36.15,36.15,36.13,2
2020-02-25T06:36:00,36.15,36.15,36.15,36.15,1
2020-02-25T06:39:00,36.18,36.15,36.22,36.15,3
2020-02-25T06:49:00,36.17,36.18,36.18,36.17,2
2020-02-25T06:50:00,36.19,36.19,36.19,36.19,1
2020-02-25T06:51:00,36.22,36.22,36.22,36.22,1
2020-02-25T06:57:00,36.19,36.19,36.19,36.19,1
2020-02-25T06:58:00,36.19,36.19,36.19,36.19,1
2020-02-25T07:00:00,36.25,36.25,36.25,36.25,1
2020-02-25T07:01:00,36.26,36.26,36.26,36.26,1
2020-02-25T07:02:00,36.25,36.2,36.25,36.2,2
2020-02-25T07:03:00,36.25,36.25,36.25,36.25,1
2020-02-25T07:04:00,36.19,36.19,36.19,36.19,2
2020-02-25T07:05:00,36.19,36.19,36.19,36.19,1
2020-02-25T07:08:00,36.19,36.19,36.19,36.19,1
2020-02-25T07:09:00,36.23,36.23,36.23,36.23,2
2020-02-25T07:11:00,36.23,36.23,36.23,36.23,1
2020-02-25T07:12:00,36.23,36.25,36.25,36.23,3
2020-02-25T07:14:00,36.25,36.25,36.25,36.25,3
2020-02-25T07:17:00,36.25,36.25,36.25,36.25,1
2020-02-25T07:18:00,36.25,36.25,36.25,36.25,1
2020-02-25T07:21:00,36.3,36.3,36.3,36.3,2
2020-02-25T07:22:00,36.25,36.25,36.25,36.25,4
2020-02-25T07:23:00,36.25,36.25,36.25,36.25,1
2020-02-25T07:25:00,36.25,36.25,36.25,36.25,2
2020-02-25T07:26:00,36.3,36.25,36.3,36.25,2
2020-02-25T07:27:00,36.25,36.26,36.26,36.25,3
2020-02-25T07:29:00,36.26,36.26,36.26,36.26,1
2020-02-25T07:30:00,36.26,36.26,36.26,36.26,1
2020-02-25T07:31:00,36.26,36.26,36.26,36.26,1
2020-02-25T07:32:00,36.25,36.25,36.25,36.25,1
2020-02-25T07:34:00,36.25,36.25,36.25,36.25,2
2020-02-25T07:38:00,36.25,36.25,36.25,36.25,1
2020-02-25T07:39:00,36.25,36.25,36.25,36.25,1
2020-02-25T07:50:00,36.25,36.25,36.25,36.25,1
2020-02-25T07:57:00,36.26,36.28,36.28,36.26,2
2020-02-25T08:00:00,36.45,36.31,36.45,36.27,6
2020-02-26T03:37:00,34.6,34.6,34.6,34.6,1
2020-02-26T04:15:00,34.8,34.8,34.8,34.8,1
2020-02-26T04:20:00,34.8,34.8,34.8,34.8,3
2020-02-26T04:21:00,34.8,34.8,34.8,34.8,3
2020-02-26T04:24:00,34.8,34.8,34.8,34.8,2
2020-02-26T05:22:00,34.95,34.95,34.95,34.95,1
